,fullname,id,likes,replies,retweets,text,timestamp,user
1158,Devina indahsari,921110138051792898,0,0,0,"Kenakan Jeans Trendy dan Sepatu Hak Tinggi, Malala Dihujani Kritik di Medsos http://okz.me/CYEeF  pic.twitter.com/0H0ynDpawk",2017-10-19T20:25:44,devinaindah88
1159,gema ramadhan,921110559608770560,0,0,0,"Kenakan Jeans Trendy dan Sepatu Hak Tinggi, Malala Dihujani Kritik di Medsos http://okz.me/CYEeF  pic.twitter.com/1MyjqD18d5",2017-10-19T20:27:25,gema563h
1160,Maham,921111587284570113,2,0,0,Mom's opinion about Malala getting hate for wearing skinny jeans. What do u guys think? pic.twitter.com/P8sZbWHKK1,2017-10-19T20:31:30,maham__love
1161,Andri Rah,921112832896327681,0,0,0,"Kenakan Jeans Trendy dan Sepatu Hak Tinggi, Malala Dihujani Kritik di Medsos http://okz.me/CYEeF pic.twitter.com/96jZrVR6yl",2017-10-19T20:36:27,AndriRah1
1162,Gem,921116744051314688,0,0,0,"@info -  Kenakan Jeans Trendy dan Sepatu Hak Tinggi, Malala Dihujani Kritik di Medsos",2017-10-19T20:51:59,GEMAWAHYUH
1163,Rakhshan Jaffer,921122159904395265,0,0,0,".@deray - I told @Malala, Oxford is not a good school but.  https://twitter.com/guardian/status/921106280860782592 …",2017-10-19T21:13:31,Rakhshan
1164,T,921123518863020032,1,0,0,Malala wore jeans and people are losing thier shit. Men are trash.,2017-10-19T21:18:55,UnTanyacious
1165,Manuel Polanco,921130624622018560,0,0,0,"Malala Yousafzai, blanco de críticas por usar jeans y tacones https://us.hola.com/actualidad/201710199653/malala-criticada-jeans/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/jFEVFPHT3p",2017-10-19T21:47:09,baby1manuel
1166,Mujeres D' Hoy,921130629802033152,0,0,0,"Malala Yousafzai, blanco de críticas por usar jeans y tacones http://dlvr.it/PwbVnN pic.twitter.com/VJystYCc0I",2017-10-19T21:47:10,MujeresDHoy
1167,Daniel Carmona,921132125490835456,0,0,0,"Malala Yousafzai, blanco de críticas por usar jeans y tacones http://dlvr.it/PwbXJz pic.twitter.com/G4Jnyt3u6R",2017-10-19T21:53:07,DocaPower1
1168,SPAWN RCF MY FAMILY,921138303746834433,0,0,0,A Malala Yousafzai la están atacando sin compasión en Pakistán por haber usado “tacones y jeans” http://fb.me/Bnv8sj4H ,2017-10-19T22:17:40,familyrcf
1169,Your Crush,921143446580051968,0,0,0,FYI: Malala Yousafzai trolled for 'wearing skinny jeans and high heels to Oxford http://dlvr.it/PwbqlV pic.twitter.com/0pdjCdx8et,2017-10-19T22:38:06,informnaijablog
1170,MSN México,921147982493319168,2,0,0,"Malala, criticada por vestir jeans y tacones https://www.msn.com/es-mx/noticias/mundo/malala-acosada-en-internet-por-vestir-jeans-y-tacones/ar-AAtJXGZ?ocid=ob-tw-esmx-576 …pic.twitter.com/cKFP1VBLJr",2017-10-19T22:56:07,MSNMex
1171,Zuz Guevara,921148282075619328,2,0,0,En serio están rebuznando porque #Malala se puso jeans?,2017-10-19T22:57:19,ZuzGuevara
1172,Deb Cordero,921148439974596608,0,0,0,"Malala en jeans ajustados, la foto viral que cuestiona a la Premio Nobel (+fotos) http://www.24-horas.mx/malala-en-jeans-ajustados-la-foto-viral-que-cuestiona-a-la-premio-nobel-fotos/ … vía @diario24horas",2017-10-19T22:57:56,Debcordero
1173,Mario Castillo,921150525458059267,0,0,0,"Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st …",2017-10-19T23:06:14,mariony1001
1174,ClothingDomains,921152539453685761,0,0,0,New post: Malala Yousafzai shamed for wearing skinny jeans and heels to class https://clothingdomains.com/?p=37401 ,2017-10-19T23:14:14,ClothingDomains
1175,Clement Wong,921153270214811652,0,0,0,"Look at it this way @Malala , as powerful as your story has become; all your critics could come up with was to talk about your jeans lol https://twitter.com/BushraGohar/status/919813551388229632 …",2017-10-19T23:17:08,DJShowKase
1176,GodorNoGod,921156602392203264,0,0,0,"Malala Yousafzai attacked on social media over ‘photo of her wearing jeans and heels’
http://bit.ly/2yUzp19 ",2017-10-19T23:30:22,GodOrNoGod
1177,Atheist Republic,921156602463432705,27,15,18,"Malala Yousafzai attacked on social media over ‘photo of her wearing jeans and heels’
http://bit.ly/2yUzp19 ",2017-10-19T23:30:22,AtheistRepublic
1178,⎛⎝ James The Bond ⎠⎞,921157777560612868,8,1,10,Il Premio Nobel Malala Yousafzai scampata ai talebani attaccata dai musulmani sui social perchè indossa i jeans http://www.telegraph.co.uk/news/2017/10/18/malala-yousafzai-attacked-social-media-photo-wearing-jeans-heels/?WT.mc_id=tmg_share_tw …,2017-10-19T23:35:03,IAmJamesTheBond
1179,Julio César,921158469033627648,2,1,1,"Ahora critican a Malala por usar jeans ""ajustados"" y tacones, le llaman traidora. Lo dicho: Ningún pito les embona. Jaja pic.twitter.com/p6rhtGBO6V",2017-10-19T23:37:47,IuliusC_
1180,Revista Cosmopolitan,921159064591224833,2,0,1,Malala es criticada en redes sociales por usar skinny jeans y botas http://ow.ly/zLwn30fZQvO pic.twitter.com/ay07E3XEDE,2017-10-19T23:40:09,cosmopolitanmx
1181,Canal TVBUS,921159792676270081,0,0,1,"#Mundo Malala, acosada en internet por vestir jeans y tacones - http://www.tvbus.tv/web/2017/10/19/malala-acosada-en-internet-vestir-jeans-tacones/ …pic.twitter.com/2Tcec1ROEj",2017-10-19T23:43:03,tvbus
1182,Ramsés #SomosRED,921162776399302660,0,0,0,Hay mucha gente que está cayendo en el engaño astuto de Malala. El que use jeans o tacones NO significa que... http://fb.me/6HK0ju7g8 ,2017-10-19T23:54:54,RamRock
1183,Jo Lang,921175904163942401,1,0,0,Malala Yousafzai trolled for wearing skinny jeans at Oxford http://www.independent.co.uk/news/uk/malala-yousafzai-jeans-photo-trolled-twitter-oxford-university-a8007791.html …,2017-10-20T00:47:04,jojolang9
1184,Jordyn Lynnia,921175990180737024,0,1,0,Some people just annoy me so much. I'm reading an article about how people are criticising @Malala for wearing skinny jeans.,2017-10-20T00:47:25,jordynlynnia
1185,Cancerbero Real,921178561154822144,0,0,0,"Malala en jeans ajustados, la foto viral que cuestiona a la Premio Nobel  http://www.24-horas.mx/malala-en-jeans-ajustados-la-foto-viral-que-cuestiona-a-la-premio-nobel-fotos/ …pic.twitter.com/LQcLkDhhwr",2017-10-20T00:57:38,cancerbero_real
1186,RT,921179038621855744,37,24,31,Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l pic.twitter.com/13VOQUL7Sj,2017-10-20T00:59:32,RT_com
1187,noticias  venezuela,921179362136936449,0,0,0,RT: @rt_com :Malala Yousafzai targeted on social media for wearing ‘skinny jeans &amp; heels’ at #Oxford https://on.rt.com/8q6l  https://t.c,2017-10-20T01:00:49,notiven
1188,Richard Yarakson,921179714324258816,0,0,0,Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l  pic.twitter.com/GXssfqzyFL,2017-10-20T01:02:13,shtfethi
1189,Acan Kemal,921179757332647936,0,0,0,Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l  pic.twitter.com/1qvDr0RWkM,2017-10-20T01:02:23,Jjjamess_1907
1190,Angela May,921181476854665217,0,0,0,Malala Yousafzai trolled for wearing skinny jeans at Oxford http://www.independent.co.uk/news/uk/malala-yousafzai-jeans-photo-trolled-twitter-oxford-university-a8007791.html … #fashion #style #denim,2017-10-20T01:09:13,angmay33
1191,Bobbit,921181516033675264,0,0,0,"Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l  pic.twitter.com/eEYsuB6Vx1

…",2017-10-20T01:09:22,bobbit2266
1192,Ivan,921182056864010240,0,0,0,"Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l  pic.twitter.com/lWJA63LKnA

…",2017-10-20T01:11:31,Ivan226622
1193,rick,921183275367968768,0,0,0,"Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at #Oxford https://on.rt.com/8q6l  pic.twitter.com/QjYVTliS8q

…",2017-10-20T01:16:22,rickrick888
1194,Fernando Rea.,921186887565488129,2,0,0,Que Malala vistiendo jeans sea noticia habla de un lado retrógrada de este mundo y no precisamente es el que piensan.,2017-10-20T01:30:43,MrFerchando
1195,John Alexander  🇨🇴,921187343855423488,0,0,0,"Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st …",2017-10-20T01:32:32,JohnAArango
1196,Rodrigo,921189367955251200,1,0,1,"Malala estudia filosofía, economía y política en la Universidad de Oxford. Yo sólo uso mi cerebro para básicamente no morir.",2017-10-20T01:40:34,branduran
1197,Caciano Dinorín.,921192427855273985,0,0,0,"Wooow!!! El look de Malala
en Oxford . pic.twitter.com/HxU5fQdgeu",2017-10-20T01:52:44,Dino_azul1974
1198,Adrián Guízar,921194971205480454,0,0,0,"Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st …",2017-10-20T02:02:50,adn_guizar
