0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
19308,Ali,9.13E+17,0,0,0,Nasty gimmick by cafe using Mahira Khan's pic to milk some cash. This is cheap and wrong on so many levels. Ffs let the girl live her life.,2017-09-27T03:05:28,Bulleya_,27/9/2017,3:05:28,0,0.301,0.699,-0.8948
19309,#EAR #JokeR,9.13E+17,3,0,3,"+
ﺟﻦ ﮐﺎ ﮐﻮﺉ #ﻧﮩﯿﮟ ﮨﻮﺗﺎ ﺍﻥ ﮐﮯ
#ﻓﺮﯼ #ﻣﻨﭧ ﺑﮭﯽ #ﺿﺎﺋﻊ
ﮨﻮﺟﺎﺗﮯ ﮨﯿﮟ..

#NawazSharif
#JawariKaptan
#NextPatwariSymbol
#mahirakhan

On
@UrduJokeSms",2017-09-27T03:07:29,UrduJOKEsms,27/9/2017,3:07:29,0,0,1,0
19310,Erum,9.13E+17,1,1,0,One thing is prohibited tou its prohibited ! No question ! We muslims can only swear to GOD this is it !,2017-09-27T03:07:30,EramAltaf19,27/9/2017,3:07:30,0.123,0.185,0.692,0.3202
19311,#INDvNZ #INDvsNZ,9.13E+17,1,0,1,"+
ﺟﻦ ﮐﺎ ﮐﻮﺉ #ﻧﮩﯿﮟ ﮨﻮﺗﺎ ﺍﻥ ﮐﮯ
#ﻓﺮﯼ #ﻣﻨﭧ ﺑﮭﯽ #ﺿﺎﺋﻊ
ﮨﻮﺟﺎﺗﮯ ﮨﯿﮟ..

#NawazSharif
#JawariKaptan
#NextPatwariSymbol
#mahirakhan

On
UrduJokeSms",2017-09-27T03:08:32,UrduPtvSports,27/9/2017,3:08:32,0,0,1,0
19312,Humz,9.13E+17,0,0,1,#mahirakhan pic.twitter.com/vIwQY8NY6K,2017-09-27T03:15:48,Humz_q,27/9/2017,3:15:48,0,0,1,0
19313,Rimsha,9.13E+17,0,0,0,Nice,2017-09-27T03:15:49,Rimsha27673428,27/9/2017,3:15:49,1,0,0,0.4215
19314,Taryq Ali,9.13E+17,0,0,0,Mahira khan ki harkato par asay tanqeed horahi hai jese pehle wo madani channel ki anchor thi,2017-09-27T03:16:20,TaryqAli,27/9/2017,3:16:20,0,0,1,0
19315,SANJAY KOTWANI,9.13E+17,0,0,0,terrorist muslims fawad khan mahira khan ghulam ali mustaq chaudary are involved in genocide of pandits,2017-09-27T03:33:39,SANJAYKOTWANI1,27/9/2017,3:33:39,0,0.239,0.761,-0.6908
19316,Sana Ahmed,9.13E+17,4,1,1,the bottom line of this discussion is; @TheMahiraKhan got much more attention through these pics than she should have.,2017-09-27T03:40:16,SanaAhmedWrites,27/9/2017,3:40:16,0,0,1,0
19317,Bunny Raj,9.13E+17,1,0,0,My fvrt forever,2017-09-27T03:41:57,BunnyRa67196240,27/9/2017,3:41:57,0,0,1,0
