,fullname,id,likes,replies,retweets,text,timestamp,user
0,RoidRazer World,910950015220224000,0,0,0,I added a video to a @YouTube playlist http://youtu.be/N0TEK6buwVA?a  Ranbir Kapoor and Mahira khan are in relationship Confirmed,2017-09-21T19:33:02,Roidrazerworld
1,Shubha,910950121650626560,1,1,0,Everyone knows what they were doing together. Ranbir has quite a reputation for it.,2017-09-21T19:33:28,AlphahuntersUAE
2,Niraj,910950370087665665,0,0,0,haha ,2017-09-21T19:34:27,ImNirajS
3,Asad Jokhio,910950612052914184,2,0,0,@TheMahiraKhan pic.twitter.com/qqyJMFLXqn,2017-09-21T19:35:25,asadjokhio99
4,Maha.,910950680923459584,13,0,6,"Don 3 
@iamsrk @TheMahiraKhan pic.twitter.com/eBDpKvMPxk",2017-09-21T19:35:41,MahaSRK1
5,J,910950711835455489,0,0,0,Hahaha extremist,2017-09-21T19:35:49,iamjoogal
6,AB,910950720647700480,1,0,0,Looks like @TheMahiraKhan ?? pic.twitter.com/prNSjlOgzg,2017-09-21T19:35:51,HeyimAB
7,Google News Hindi,910950819960307712,1,0,0,"#RanbirKapoor #MahiraKhan #INDvAUS #DeepikaPadukone 

Ranbir Kapoor and Mahira khan are in relationship | Confirmed

https://youtu.be/N0TEK6buwVA pic.twitter.com/HD9WKVJctr",2017-09-21T19:36:14,GoogleNewsHndi
8,Fatima.,910950844010520578,0,2,0,My tweet makes it about women and men because all I have been hearing and reading is Mahira Khan. Not Ranbir.,2017-09-21T19:36:20,notsocurvy
9,Think a little bit,910950852927606784,2,0,0,"@TheMahiraKhan 
Hamarey bicharney ka saniha bhi kamal guzra

hey zakhmi ap bhi ham bhi!  pic.twitter.com/egNtCG61R7",2017-09-21T19:36:22,TheMRafi
10,Sara fawad khan,910950857671430145,8,0,1,Mahira Why Ranbir? Are you crazy? I 'm shocked #MahiraKhan @TheMahiraKhan pic.twitter.com/jvRWSl5gXO,2017-09-21T19:36:23,fk656627
11,DailyPakistan Global,910950929792421889,2,0,3,"Mahira Khan, Ranbir Kapoor spotted SMOKING together outside New York hotel #daily-pakistan #mahira-khan #pakistanhttp://bit.ly/2xUy2zk ",2017-09-21T19:36:40,dailypakistangl
12,HusnainKhan,910950989821247489,0,0,0,@TheMahiraKhan Fatway lagana shuru aap py ,2017-09-21T19:36:55,husnainkhan1
13,Fatimah khan,910951007223414784,1,1,0,But for saint like mahira khan its nbearable,2017-09-21T19:36:59,Fateemayy
14,Waseem Ahamad,910951062873546752,1,0,0,Mahira Khan’s latest bridal photo shoot is magical and it will leave you spellbo... http://indianexpress.com/article/lifestyle/fashion/mahira-khans-latest-photo-shoot-is-magical-and-it-will-leave-you-spellbound-4844028/ … |  by https://twibble.io pic.twitter.com/ORWpbzqtve,2017-09-21T19:37:12,waseemahamad972
15,Areeb Shariff,910951237260111872,0,0,0,Why are ppl against Mahira Khan lmaoo she can do whatever she wants,2017-09-21T19:37:54,eareeb
16,S.J,910951489102913536,0,1,0,"@TheMahiraKhan So the rumours were true then. Casanova Ranbir ka aik aur shikaar. As your fan, I'm disappointed to c this. pic.twitter.com/X6OmWyGqF5",2017-09-21T19:38:54,vmorghulis1860
17,. Shah...!,910951538486501376,0,0,0,"#RanbirKapoor snapped with @TheMahiraKhan at NYC 
#MahiraKhan pic.twitter.com/rHcfs89b5j",2017-09-21T19:39:06,Shahtastic1
18,Nievv,910951572020056064,1,0,0,"Mahira khan the Bitch,
Ok she is out of our society. https://twitter.com/OfficialHanzala/status/910946445607473152 …",2017-09-21T19:39:14,NievMemon
19,Eleutheromaniac,910951752358342656,42,5,10,Who cares if Ranbir Kapoor is doing Mahira Khan. He has a Biopic movie coming out. Any publicity is good publicity . #Mahirakhan,2017-09-21T19:39:57,Eleutromaniac
20,Mishal SIddiqui,910951766753206279,3,2,1,Everyone has its Personal life but that's not the way you represent your country on the streets of newyork ! #itshurting @TheMahiraKhan pic.twitter.com/ndqeZlMD3g,2017-09-21T19:40:00,MishalSIddiqu12
21,Total Gentle,910951859602333696,2,2,1,Omg... Mahira khan is somking i can't handle it yaar !,2017-09-21T19:40:22,OhhBoy_Arjun
22,Dinithi,910951909405499392,0,1,2,Hold. The. Phone.  Are Mahira Khan and Ranbir Kapoor dating?! pic.twitter.com/Ri0IcfxgmY,2017-09-21T19:40:34,adeedoes
23,Bilal,910952012094861312,6,0,1,lmao pakistani men and women are at it again calling mahira khan non-muslim...for smoking,2017-09-21T19:40:59,Sillly_Point
24,nervous system,910952040288915457,9,2,2,mahira khan is too hot for ranbir kapoor guys he is in her friendzone,2017-09-21T19:41:05,Abbasayy
25,Saba,910952056776773632,1,0,0,Just wondering where did Mahira Khan mention that she's representing Islam?? Why everyone is bringing religion into this? :-/,2017-09-21T19:41:09,ssabasays
26,Feyza,910952283948638208,4,0,0,"Gerçek olsan bariii 
#RanbirKapoor #MahiraKhan pic.twitter.com/VwQOEWhPW9",2017-09-21T19:42:03,FernwehFeyz
27,Noorulain khan I,910952327053537280,1,0,0,Everyone watching your shameless pictures with ranbir kapoor ...shame on you ...i was like you but not now image has lost @TheMahiraKhan,2017-09-21T19:42:14,9Noorulain
28,Kashif,910952478161719296,1,1,0,Not that it's my place to say it but Mahira Khan with that dressing and cigarette is a Shocker!,2017-09-21T19:42:50,KashifDotAkhtar
29,Hamza Khan,910952644247719937,1,0,0,"I know it’s her personal life & all, but this is definitely a huge hit, if not the end, of the ‘Mahira Khan’ brand as we know it. pic.twitter.com/n3QEwD5PYD",2017-09-21T19:43:29,Hamzipti
30,Farhan Rajput,910952673289162755,0,0,0,@TheMahiraKhan hawn g keh den sb muslim apko e target krty hain hm toh muslim e nae hain ap toh newyork ranbeer k sth ludo khel rae thi? pic.twitter.com/TcluAzHGTt,2017-09-21T19:43:36,farhanrajput199
31,Noor Inam,910952686601818112,189,61,96,So the people of country who watch most porn are getting mad at the semi nude pictures of mahira khan. How hypocrite,2017-09-21T19:43:39,noorinam1
32,Partiksha Verma,910952715634671616,0,0,0,@TheMahiraKhan mahi #ranbir @zoom @Bollyhungama @bollywood_life #spotted,2017-09-21T19:43:46,PartikshaV
33,Suraj kumar,910952783481675776,1,0,0,@TheMahiraKhan  look it you ..you can kill any one  https://twitter.com/lovekhushi4/status/910911964024573952 …,2017-09-21T19:44:02,suraj_confused
34,Rafia Mudasir,910952819666178048,0,0,0,@TheMahiraKhan   do you like to say anything about this madam? pic.twitter.com/I68mPb2GmI,2017-09-21T19:44:11,RafiaMudasir
35,Ehtesham Hussain.,910952852239110144,0,0,0,Hahahahaha! ,2017-09-21T19:44:19,Ehtesham300
36,ماہٗ مِثّل,910952905666170880,11,1,0,I have more respect for @TheMahiraKhan then any other woman in this country. @ Haram Police,2017-09-21T19:44:32,7heikh
37,Prachi Das 🇮🇳,910953040839970816,3,2,0,"In the 1st pic..I thought that actress is Mahira Khan
Damn! https://twitter.com/kamaalrkhan/status/910945121280987136 …",2017-09-21T19:45:04,iPrachiDas
38,z,910953065074823168,95,7,25,Do people think Mahira Khan is real life Khirad who only says “Ashar main aapki Khirad hoon” ????,2017-09-21T19:45:10,NurKhairDe
39,waleed Malik,910953083135561728,0,1,0,Mahira khan js goals .eh,2017-09-21T19:45:14,Mrweedu
40,G. Hussain,910953190518030339,0,0,0,"Lo bhai, mahira khusri hoti tou liberals ne rona tha.
Women she is tou feminists are crying.
@TheMahiraKhan banda hi ban ja",2017-09-21T19:45:39,EmirOfMecca
41,Maryam,910953208033562624,0,1,0,That is Mahira Khan,2017-09-21T19:45:44,BefourMaryam
42,Abdullah Tariq,910953311804772353,352,7,234,"MAHIRA KHAN IS SMOKING?!

MAHIRA KHAN IS ALWAYS SMOKIN'. pic.twitter.com/foqGmBYoTg",2017-09-21T19:46:08,abdullahtariq91
43,Haroon,910953486656958464,3,0,0,Mahira Khan has totally disappointed me. Atleast joint tou lagati !,2017-09-21T19:46:50,ViscaHaroon
44,z,910953504562348038,0,1,0,Mahira Khan excuse yourself pls,2017-09-21T19:46:54,NurKhairDe
45,Hammad,910953540683812865,0,1,0,"@TheMahiraKhan jst make sure whatever you tweet, you're totally calm & composed rather than emotionally charged up and then regret it later",2017-09-21T19:47:03,itshammadd
46,Ammad Paracha,910953569565728768,0,0,0,@TheMahiraKhan App Jesy Actors Jo Pakistani Ho ke Gandy kam krti pakri jao to boli hm nhi fake pic videos hai usa mai shots dress opsr cigrt,2017-09-21T19:47:10,Ammad_paracha1
47,ماہٗ مِثّل,910953639396638720,6,0,0,#RanbirKapoor & #MahiraKhan have my blessings  https://twitter.com/popdiarieslive/status/910928876091588609 …,2017-09-21T19:47:26,7heikh
48,Partiksha Verma,910953697445687296,2,0,0,@TheMahiraKhan @HarshdeepKaur #zalima #celebrity,2017-09-21T19:47:40,PartikshaV
